Date Column,Crop Name,Min Price,Max Price
4/29/2025,Capsicum,500,600
4/28/2025,Capsicum,450,600
4/27/2025,Capsicum,500,600
4/26/2025,Capsicum,550,700
4/25/2025,Capsicum,500,650
4/24/2025,Capsicum,500,650
4/23/2025,Capsicum,500,650
4/22/2025,Capsicum,400,550
4/21/2025,Capsicum,600,700
4/20/2025,Capsicum,550,650
4/19/2025,Capsicum,650,750
4/18/2025,Capsicum,700,800
4/17/2025,Capsicum,700,800
4/16/2025,Capsicum,800,850
4/15/2025,Capsicum,,
4/14/2025,Capsicum,,
4/13/2025,Capsicum,,
4/12/2025,Capsicum,700,800
4/11/2025,Capsicum,650,750
4/10/2025,Capsicum,650,750
4/9/2025,Capsicum,650,750
4/8/2025,Capsicum,600,700
4/7/2025,Capsicum,600,700
4/6/2025,Capsicum,600,700
4/5/2025,Capsicum,580,700
4/4/2025,Capsicum,650,800
4/3/2025,Capsicum,500,630
4/2/2025,Capsicum,500,650
4/1/2025,Capsicum,500,600
3/31/2025,Capsicum,450,600
3/30/2025,Capsicum,500,600
3/29/2025,Capsicum,450,600
3/28/2025,Capsicum,350,600
3/27/2025,Capsicum,450,600
3/26/2025,Capsicum,400,550
3/25/2025,Capsicum,450,600
3/24/2025,Capsicum,650,720
3/23/2025,Capsicum,550,650
3/22/2025,Capsicum,480,550
3/21/2025,Capsicum,500,600
3/20/2025,Capsicum,650,750
3/19/2025,Capsicum,500,650
3/18/2025,Capsicum,450,600
3/17/2025,Capsicum,450,600
3/16/2025,Capsicum,450,600
3/15/2025,Capsicum,450,600
3/14/2025,Capsicum,400,550
3/13/2025,Capsicum,,
3/12/2025,Capsicum,500,650
3/11/2025,Capsicum,450,600
3/10/2025,Capsicum,500,650
3/9/2025,Capsicum,450,600
3/8/2025,Capsicum,450,550
3/7/2025,Capsicum,400,500
3/6/2025,Capsicum,300,450
3/5/2025,Capsicum,350,500
3/4/2025,Capsicum,450,600
3/3/2025,Capsicum,450,600
3/2/2025,Capsicum,600,700
3/1/2025,Capsicum,500,700
2/28/2025,Capsicum,500,650
2/27/2025,Capsicum,600,750
2/26/2025,Capsicum,850,1000
2/25/2025,Capsicum,800,1000
2/24/2025,Capsicum,900,1000
2/23/2025,Capsicum,800,900
2/22/2025,Capsicum,800,950
2/21/2025,Capsicum,850,1000
2/20/2025,Capsicum,800,1000
2/19/2025,Capsicum,900,1100
2/18/2025,Capsicum,900,1050
2/17/2025,Capsicum,1000,1100
2/16/2025,Capsicum,900,1000
2/15/2025,Capsicum,800,1000
2/14/2025,Capsicum,800,950
2/13/2025,Capsicum,850,1100
2/12/2025,Capsicum,,
2/11/2025,Capsicum,1000,1150
2/10/2025,Capsicum,900,1100
2/9/2025,Capsicum,1000,1150
2/8/2025,Capsicum,900,1000
2/7/2025,Capsicum,1000,1150
2/6/2025,Capsicum,900,1000
2/5/2025,Capsicum,900,950
2/4/2025,Capsicum,850,950
2/3/2025,Capsicum,900,1000
2/2/2025,Capsicum,900,950
2/1/2025,Capsicum,900,1000
1/31/2025,Capsicum,900,1000
1/30/2025,Capsicum,980,1000
1/29/2025,Capsicum,880,950
1/28/2025,Capsicum,900,950
1/27/2025,Capsicum,800,850
1/26/2025,Capsicum,750,850
1/25/2025,Capsicum,700,850
1/24/2025,Capsicum,650,750
1/23/2025,Capsicum,750,800
1/22/2025,Capsicum,700,750
1/21/2025,Capsicum,650,750
1/20/2025,Capsicum,600,650
1/19/2025,Capsicum,450,550
1/18/2025,Capsicum,450,550
1/17/2025,Capsicum,350,450
1/16/2025,Capsicum,400,520
1/15/2025,Capsicum,400,500
1/14/2025,Capsicum,450,500
1/13/2025,Capsicum,,
1/12/2025,Capsicum,400,500
1/11/2025,Capsicum,400,500
1/10/2025,Capsicum,400,500
1/9/2025,Capsicum,500,600
1/8/2025,Capsicum,400,450
1/7/2025,Capsicum,350,500
1/6/2025,Capsicum,400,500
1/5/2025,Capsicum,350,450
1/4/2025,Capsicum,450,600
1/3/2025,Capsicum,550,650
1/2/2025,Capsicum,450,550
1/1/2025,Capsicum,450,550
12/31/2024,Capsicum,450,600
12/30/2024,Capsicum,550,700
12/29/2024,Capsicum,550,650
12/28/2024,Capsicum,600,700
12/27/2024,Capsicum,600,750
12/26/2024,Capsicum,550,700
12/25/2024,Capsicum,600,650
12/24/2024,Capsicum,550,700
12/23/2024,Capsicum,650,700
12/22/2024,Capsicum,600,650
12/21/2024,Capsicum,600,700
12/20/2024,Capsicum,600,700
12/19/2024,Capsicum,600,650
12/18/2024,Capsicum,600,700
12/17/2024,Capsicum,550,650
12/16/2024,Capsicum,680,750
12/15/2024,Capsicum,650,700
12/14/2024,Capsicum, -,
12/13/2024,Capsicum,600,650
12/12/2024,Capsicum,600,700
12/11/2024,Capsicum,600,700
12/10/2024,Capsicum,700,750
12/9/2024,Capsicum,700,750
12/8/2024,Capsicum,700,750
12/7/2024,Capsicum,600,750
12/6/2024,Capsicum,700,800
12/5/2024,Capsicum,600,700
12/4/2024,Capsicum,500,650
12/3/2024,Capsicum,500,550
12/2/2024,Capsicum,500,550
12/1/2024,Capsicum,580,650
11/30/2024,Capsicum,550,650
11/29/2024,Capsicum,500,650
11/28/2024,Capsicum,500,600
11/27/2024,Capsicum,400,480
11/26/2024,Capsicum,450,550
11/25/2024,Capsicum,400,500
11/24/2024,Capsicum,400,500
11/23/2024,Capsicum,400,530
11/22/2024,Capsicum,450,530
11/21/2024,Capsicum,430,520
11/20/2024,Capsicum,400,520
11/19/2024,Capsicum,400,480
11/18/2024,Capsicum,400,500
11/17/2024,Capsicum,380,450
11/16/2024,Capsicum,450,500
11/15/2024,Capsicum,-,-
11/14/2024,Capsicum,-,-
11/13/2024,Capsicum,400,500
11/12/2024,Capsicum,350,430
11/11/2024,Capsicum,400,450
11/10/2024,Capsicum,450,500
11/9/2024,Capsicum,400,500
11/8/2024,Capsicum,400,480
11/7/2024,Capsicum,400,460
11/6/2024,Capsicum,430,500
11/5/2024,Capsicum,430,500
11/4/2024,Capsicum,400,450
11/3/2024,Capsicum,400,500
11/2/2024,Capsicum,400,480
11/1/2024,Capsicum,380,450
10/31/2024,Capsicum,-,-
10/30/2024,Capsicum,-,-
10/29/2024,Capsicum,400,500
10/28/2024,Capsicum,400,500
10/27/2024,Capsicum,450,520
10/26/2024,Capsicum,420,520
10/25/2024,Capsicum,450,550
10/24/2024,Capsicum,500,580
10/23/2024,Capsicum,480,550
10/22/2024,Capsicum,480,550
10/21/2024,Capsicum,450,550
10/20/2024,Capsicum,430,500
10/19/2024,Capsicum,450,500
10/18/2024,Capsicum,380,450
10/17/2024,Capsicum,,
10/16/2024,Capsicum,380,500
10/15/2024,Capsicum,380,450
10/14/2024,Capsicum,400,500
10/13/2024,Capsicum,380,460
10/12/2024,Capsicum,350,400
10/11/2024,Capsicum,400,450
10/10/2024,Capsicum,400,480
10/9/2024,Capsicum,380,420
10/8/2024,Capsicum,380,450
10/7/2024,Capsicum,400,450
10/6/2024,Capsicum,350,400
10/5/2024,Capsicum,350,400
10/4/2024,Capsicum,380,450
10/3/2024,Capsicum,280,380
10/2/2024,Capsicum,300,350
10/1/2024,Capsicum,350,380
9/30/2024,Capsicum,300,350
9/29/2024,Capsicum,280,330
9/28/2024,Capsicum,280,320
9/27/2024,Capsicum,270,350
9/26/2024,Capsicum,300,350
9/25/2024,Capsicum,300,350
9/24/2024,Capsicum,350,400
9/23/2024,Capsicum,400,450
9/22/2024,Capsicum,,
9/21/2024,Capsicum,,
9/20/2024,Capsicum,350,400
9/19/2024,Capsicum,300,350
9/18/2024,Capsicum,300,400
9/17/2024,Capsicum,,
9/16/2024,Capsicum,350,400
9/15/2024,Capsicum,300,400
9/14/2024,Capsicum,300,400
9/13/2024,Capsicum,300,400
9/12/2024,Capsicum,300,380
9/11/2024,Capsicum,380,430
9/10/2024,Capsicum,350,400
9/9/2024,Capsicum,350,400
9/8/2024,Capsicum,300,350
9/7/2024,Capsicum,400,430
9/6/2024,Capsicum,360,430
9/5/2024,Capsicum,400,450
9/4/2024,Capsicum,370,430
9/3/2024,Capsicum,350,400
9/2/2024,Capsicum,380,450
9/1/2024,Capsicum,350,400
8/31/2024,Capsicum,350,450
8/30/2024,Capsicum,380,450
8/29/2024,Capsicum,400,450
8/28/2024,Capsicum,380,450
8/27/2024,Capsicum,400,500
8/26/2024,Capsicum,350,400
8/25/2024,Capsicum,350,400
8/24/2024,Capsicum,400,500
8/23/2024,Capsicum,380,450
8/22/2024,Capsicum,380,450
8/21/2024,Capsicum,400,480
8/20/2024,Capsicum,400,450
8/19/2024,Capsicum,,
8/18/2024,Capsicum,350,400
8/17/2024,Capsicum,350,400
8/16/2024,Capsicum,350,400
8/15/2024,Capsicum,450,500
8/14/2024,Capsicum,500,550
8/13/2024,Capsicum,500,550
8/12/2024,Capsicum,550,650
8/11/2024,Capsicum,500,650
8/10/2024,Capsicum,600,700
8/9/2024,Capsicum,550,650
8/8/2024,Capsicum,550,650
8/7/2024,Capsicum,600,800
8/6/2024,Capsicum,700,850
8/5/2024,Capsicum,750,850
8/4/2024,Capsicum,750,850
8/3/2024,Capsicum,750,850
8/2/2024,Capsicum,800,850
8/1/2024,Capsicum,800,900
7/31/2024,Capsicum,850,900
7/30/2024,Capsicum,800,900
7/29/2024,Capsicum,800,900
7/28/2024,Capsicum,750,800
7/27/2024,Capsicum,800,850
7/26/2024,Capsicum,800,850
7/25/2024,Capsicum,750,800
7/24/2024,Capsicum,750,800
7/23/2024,Capsicum,750,800
7/22/2024,Capsicum,700,800
7/21/2024,Capsicum,650,700
